4 6
1 4
2 6
3 12
2 7
1 12000
1 2
1 30
31 40
14 305
3 280
17 335
27 384
16 364
3 5
50 387
9 206
68 225
40 219
49 363
57 145
1 86
73 205
30 229
26 237
6 26
48 137
45 179
47 338
9 159
33 206
53 1
12 137
90 368
29 36
35 141
47 189
103 32
35 244
2 47
90 222
220 30
3 96
52 246
83 243
56 396
32 46
11 199
38 290
86 149
79 383
143 366
28 232
38 18
4 75
25 3
26 141
41 318
105 181
12 223
104 273
126 1
47 342
47 307
141 58
48 393
94 99
114 1
6 196
49 120
150 119
88 185
27 266
150 100
1 312
37 28
123 218
62 285
158 289
48 100
16 45
10 21
1 101
28 210
8 346
8 398
43 377
11 74
11 278
87 346
33 154
44 195
8 278
70 281
32 325
23 135
14 28
25 163
19 285
63 217
51 56
41 194
22 286
14 73
8 107
104 350
87 34
32 141
84 235
23 180
18 150
49 250
13 69
2 337
57 343
189 324
92 127
35 245
26 354
51 30
35 239
35 281
33 342
131 202
19 19
18 106
122 46
53 327
10 44
42 376
34 392
113 3
11 47
120 16
129 353
61 173
43 175
49 298
161 342
69 265
3 248
111 310
13 393
28 140
109 369
25 89
68 141
26 234
4 115
59 340
2 355
69 373
252 213
32 146
30 182
246 158
29 361
59 122
64 281
21 269
2 283
6 199
16 40
5 135
36 199
24 254
22 94
16 261
68 99
48 160
15 302
57 78
24 181
3 7
38 71
14 19
60 224
10 77
2 357
30 156
51 208
76 118
36 199
68 325
32 81
13 15
58 304
51 325
36 104
39 197
29 193
4 153
46 317
33 6
81 344
15 324
23 371
1 244
89 354
19 40
37 226
40 381
38 364
138 267
65 292
35 32
47 379
20 185
143 296
29 370
13 155
103 210
66 309
48 220
7 225
42 203
32 66
9 165
55 203
17 338
193 293
4 284
21 374
96 127
248 98
14 381
27 38
14 344
206 286
61 147
20 74
141 173
24 66
12 51
67 181
73 50
76 310
4 120
137 14
60 120
55 52
16 376
19 106
19 101
1 287
16 134
12 121
50 90
11 149
65 227
3 155
10 219
10 88
104 306
21 118
9 344
87 167
12 320
9 399
29 74
1 62
